"id"	"description"	"en"	"local"
""	""	"Air Pressure"	"Тиск повітря"
""	""	"The pressure of air transferred by the compressor."	"Тиск повітря, що передається компресором."
""	""	"Temperature"	"Температура"
""	""	"The temperature of air transferred by the compressor."	"Температура повітря, що передається компресором."
""	""	"RPS"	"РПС"
""	""	"The rotations per second generated by the compressor."	"Оберти в секунду генеруються компресором."
""	""	"Jet Duct Angle"	"Кут струменевого повітроводу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"An angled section of ducting for use in jet engines."	"Кутовий перетин повітропроводів для використання в реактивних двигунах."
""	""	"Jet Duct Cross"	"Хрест струменевого каналу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"An cross section of ducting for use in jet engines."	"Поперечний переріз повітропроводів для використання в реактивних двигунах."
""	""	"Jet Duct Diagonal"	"Діагональ струменевого каналу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"A diagonal section of ducting for use in jet engines."	"Діагональний перетин воздуховода для використання в реактивних двигунах."
""	""	"Jet Duct Straight"	"Струменевий повітропровід прямий"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"An straight section of ducting for use in jet engines."	"Пряма ділянка воздуховода для використання в реактивних двигунах."
""	""	"Jet Duct T"	"струменевий повітропровід Т"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"A T-shaped section of ducting for use in jet engines."	"Т-подібна секція повітропроводів для використання в реактивних двигунах."
""	""	"Jet Exhaust Afterburner"	"Форсажна форсажна камера вихлопних газів"
""	""	"This is part of a set of modular jet engine components. Thrust will be produced at the back of the exhaust proportional to the internal RPS of the engine. Additional thrust is produced when the afterburner is active, at the cost of increased fuel consumption."	"Це частина набору модульних компонентів реактивних двигунів. Тяга буде вироблятися в задній частині вихлопу, пропорційна внутрішнім оборотам двигуна. Додаткова тяга виробляється при активній форсажній камері, ціною підвищеної витрати палива."
""	""	"A jet engine exhaust that can burn additional fuel for increased output."	"Вихлоп реактивного двигуна, який може спалювати додаткове паливо для збільшення продуктивності."
""	""	"Fuel"	"Паливо"
""	""	"Jet fuel input to the afterburner."	"Введення реактивного палива в форсажну камеру."
""	""	"Air Pressure"	"Тиск повітря"
""	""	"The pressure of air into the exhaust."	"Тиск повітря у вихлоп."
""	""	"Temperature"	"Температура"
""	""	"The temperature of air into the exhaust."	"Температура повітря у вихлоп."
""	""	"Thrust Spoiler"	"Спойлер тяги"
""	""	"The air flow spoiler for reducing effective thrust from the exhaust. Takes value 0 (no reduction in thrust) to 1 (total reduction in thrust)."	"Спойлер повітряного потоку для зниження ефективної тяги від вихлопу. Приймає значення від 0 (без зменшення тяги) до 1 (загальне зменшення тяги)."
""	""	"Afterburner"	"Форсаж"
""	""	"Enable the afterburner."	"Увімкніть форсажну камеру."
""	""	"Jet Exhaust"	"струменевий вихлоп"
""	""	"This is part of a set of modular jet engine components. Thrust will be produced at the back of the exhaust proportional to the internal RPS of the engine."	"Це частина набору модульних компонентів реактивних двигунів. Тяга буде вироблятися в задній частині вихлопу, пропорційна внутрішнім оборотам двигуна."
""	""	"A jet engine exhaust that will produce thrust."	"Вихлоп реактивного двигуна, який буде виробляти тягу."
""	""	"Air Pressure"	"Тиск повітря"
""	""	"The pressure of air into the exhaust."	"Тиск повітря у вихлоп."
""	""	"Temperature"	"Температура"
""	""	"The temperature of air into the exhaust."	"Температура повітря у вихлоп."
""	""	"Thrust Spoiler"	"Спойлер тяги"
""	""	"The air flow spoiler for reducing effective thrust from the exhaust. Takes value 0 (no reduction in thrust) to 1 (total reduction in thrust)."	"Спойлер повітряного потоку для зниження ефективної тяги від вихлопу. Приймає значення від 0 (без зменшення тяги) до 1 (загальне зменшення тяги)."
""	""	"Jet Exhaust Rotating"	"Реактивний випускний оберт"
""	""	"This is part of a set of modular jet engine components. Thrust will be produced at the back of the exhaust proportional to the internal RPS of the engine. The direction of the thrust is controlled using a standard value that sets the target orientation within the pivot's range of motion of -0.5 to 0.5 turns."	"Це частина набору модульних компонентів реактивних двигунів. Тяга буде вироблятися в задній частині вихлопу, пропорційна внутрішнім оборотам двигуна. Напрямок тяги контролюється за допомогою стандартного значення, яке задає орієнтацію цілі в діапазоні руху стрижня від -0, 5 до 0, 5 обороту."
""	""	"A jet engine exhaust that has a built-in mechanical pivot."	"Вихлоп реактивного двигуна, який має вбудований механічний стрижень."
""	""	"Air Pressure"	"Тиск повітря"
""	""	"The pressure of air into the exhaust."	"Тиск повітря у вихлоп."
""	""	"Temperature"	"Температура"
""	""	"The temperature of air into the exhaust."	"Температура повітря у вихлоп."
""	""	"Thrust Spoiler"	"Спойлер тяги"
""	""	"The air flow spoiler for reducing effective thrust from the exhaust. Takes value 0 (no reduction in thrust) to 1 (total reduction in thrust)."	"Спойлер повітряного потоку для зниження ефективної тяги від вихлопу. Приймає значення від 0 (без зменшення тяги) до 1 (загальне зменшення тяги)."
""	""	"Rotation Target"	"Ціль ротації"
""	""	"The standard value setting the orientation within the range of motion."	"Стандартне значення, що задає орієнтацію в межах діапазону руху."
""	""	"Electric"	"Живлення"
""	""	"Electrical input to power the exhaust's pivot."	"Електричний вхід для живлення повороту вихлопу."
""	""	"Large Jet Intake"	"Великий повітрозабірник струменя"
""	""	"The intake has turbo fans that will provide additional thrust. The intake will provide a greater air flow when travelling through the air."	"Впуск має турбовентилятори, які забезпечать додаткову тягу. Забірник забезпечить більший потік повітря при русі по повітрю."
""	""	"A large intake that will suck air into a jet engine."	"Великий повітрозабірник, який буде всмоктувати повітря в реактивний двигун."
""	""	"Air Pressure"	"Тиск повітря"
""	""	"The pressure of air transferred by the intake."	"Тиск повітря, що передається забором."
""	""	"RPS"	"РПС"
""	""	"The rotations per second generated by the intake."	"Оберти в секунду генеруються впуском."
""	""	"Small Jet Intake"	"Малий забірник струменя"
""	""	"This is part of a set of modular jet engine components. The intake will provide a greater air flow when travelling through the air."	"Це частина набору модульних компонентів реактивних двигунів. Забірник забезпечить більший потік повітря при русі по повітрю."
""	""	"A small intake that will suck air into a jet engine."	"Невеликий повітрозабірник, який буде всмоктувати повітря в реактивний двигун."
""	""	"Air Pressure"	"Тиск повітря"
""	""	"The pressure of air transferred by the intake."	"Тиск повітря, що передається забором."
""	""	"RPS"	"РПС"
""	""	"The rotations per second generated by the intake."	"Оберти в секунду генеруються впуском."
""	""	"Jet Turbine Medium"	"Середовище реактивної турбіни"
""	""	"This is part of a set of modular jet engine components. This turbine has a torque connection for manually starting using an electric motor, or for powering additional props and generators."	"Це частина набору модульних компонентів реактивних двигунів. Ця турбіна має підключення крутного моменту для ручного запуску за допомогою електродвигуна, або для живлення додаткових опор і генераторів."
""	""	"A medium turbine that will convert air pressure to RPS within a jet engine."	"Середня турбіна, яка буде перетворювати тиск повітря в RPS всередині реактивного двигуна."
""	""	"RPS"	"РПС"
""	""	"The torque of the turbine."	"Крутний момент турбіни."
""	""	"Air Pressure"	"Тиск повітря"
""	""	"The pressure of air transferred by the turbine."	"Тиск повітря, що передається турбіною."
""	""	"Temperature"	"Температура"
""	""	"The temperature of air transferred by the turbine."	"Температура повітря, що переноситься турбіною."
""	""	"RPS"	"РПС"
""	""	"The rotations per second generated by the turbine."	"Оберти в секунду, створювані турбіною."
""	""	"Electric"	"Живлення"
""	""	"The electric connection to output electric energy."	"Електричне підключення для виведення електричної енергії."
""	""	"Jet Turbine Small"	"Реактивна турбіна малого розміру"
""	""	"This is part of a set of modular jet engine components."	"Це частина набору модульних компонентів реактивних двигунів."
""	""	"A small turbine that will convert air pressure to RPS within a jet engine."	"Невелика турбіна, яка буде перетворювати тиск повітря в RPS всередині реактивного двигуна."
""	""	"Air Pressure"	"Тиск повітря"
""	""	"The pressure of air transferred by the turbine."	"Тиск повітря, що передається турбіною."
""	""	"Temperature"	"Температура"
""	""	"The temperature of air transferred by the turbine."	"Температура повітря, що переноситься турбіною."
""	""	"RPS"	"РПС"
""	""	"The rotations per second generated by the turbine."	"Оберти в секунду, створювані турбіною."
""	""	"Electric"	"Живлення"
""	""	"The electric connection to output electric energy."	"Електричне підключення для виведення електричної енергії."
""	""	"Ladder"	"Драбина"
""	""	"You can attach to the ladder by interacting with [$[action_use_seat]], then detach again with either [$[action_use_seat]] or [$[action_jump]]. You will automatically detach from the ladder when you reach the top."	"Можна приєднатися до драбини, взаємодіючи з [$[action_use_seat]], а потім знову від'єднати за допомогою [$[action_use_seat]] або [$[action_jump]]. Ви автоматично від'єднаєтеся від драбини, коли досягнете вершини."
""	""	"Single ladder rung. Multiple rungs can placed on top of each other to form a ladder of abitrary length."	"Сходи одномісні. Кілька сходинок можуть бути розміщені один на одному, утворюючи драбину швидкої довжини."
""	""	"Landing Float"	"посадка поплавка"
""	""	"Ideal for attaching to helicopters to allow them to land on the ocean."	"Ідеально підходить для кріплення до вертольотів, щоб дозволити їм висадитися на океан."
""	""	"A buoyant float."	"Плавучий поплавок."
""	""	"Large Propeller"	"Великий пропелер"
""	""	"Power received from an engine affects the forward and backward force generated. This propeller will only operate underwater."	"Потужність, отримана від двигуна, впливає на створювану силу вперед і назад. Цей гвинт буде працювати тільки під водою."
""	""	"A large boat propeller."	"Великий човновий гвинт."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine."	"Видає оберти за секунду двигуна."
""	""	"Large Rotor"	"Великий ротор"
""	""	"Two standard number inputs control the rotor's swashplate, allowing you to affect the its pitch and roll. Power received from an engine affects the amount of up and down force that the rotor will generate. The output force of this rotor is decreased when underwater."	"Два стандартних входи з номерами контролюють перекос ротора, дозволяючи впливати на його крок і крен. Потужність, отримана від двигуна, впливає на величину сили вгору і вниз, яку буде генерувати ротор. Вихідна сила цього ротора зменшується під час перебування під водою."
""	""	"A helicopter rotor with controllable pitch and roll."	"Ротор вертольота з регульованим кроком і креном."
""	""	"Roll"	"Нахил в боки (Roll)"
""	""	"Standard value between -1 and 1 representing the desired roll amount."	"Стандартне значення від -1 до 1, що представляє бажану суму ролу."
""	""	"Pitch"	"Нахил (Pitch)"
""	""	"Standard value between -1 and 1 representing the desired pitch amount."	"Стандартне значення від -1 до 1, що регулює нахил гвинтів: \nчим ближче до 1 тим більше тяга вперед, \nчим ближче до -1 тим більше тяга назад (початкове положення: нейтральне), \nз значенням в 0 гвинти не будуть рухати транспорт зовсім."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine."	"Видає оберти за секунду двигуна."
""	""	"Collective"	"Зчеплення"
""	""	"Standard value between -1 and 1 representing the desired pitch amount."	"Стандартне значення від -1 до 1, що регулює нахил гвинтів: \nчим ближче до 1 тим більше тяга вперед, \nчим ближче до -1 тим більше тяга назад (початкове положення: нейтральне), \nз значенням в 0 гвинти не будуть рухати транспорт зовсім."
""	""	"Laser Beacon"	"Лазерний маяк"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"A beacon that produces a laser point light, visible by laser point sensors."	"Маяк, який виробляє лазерне точкове світло, видиме лазерними точковими датчиками."
""	""	"Beacon Light"	"Світло маяка"
""	""	"Switches the beacon on when receiving an on signal."	"Вмикає маяк при отриманні включеного сигналу."
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Wavelength"	"Довжина хвилі"
""	""	"The specific light wavelength to emit (whole number)."	"Вказує конкретну довжину хвилі лазеру (ціле число)."
""	""	"Laser Distance Sensor"	"Лазерний датчик відстані"
""	""	"The reading can be read from the sensor's number output and is measured in metres (1 metre = 4 blocks)."	"Показання зчитуються з номера датчика і вимірюються в метрах (1 метр = 4 блоки)."
""	""	"A laser distance sensor with a maximum measurement range of 4000m."	"Лазерний датчик відстані з максимальним діапазоном вимірювання 4000м."
""	""	"Distance"	"Відстань"
""	""	"The measured distance in metres."	"Виміряна відстань у метрах."
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Active"	"Активний"
""	""	"Controls whether or not the laser is active."	"Контролює, чи активний лазер."
""	""	"Wavelength"	"Довжина хвилі"
""	""	"The specific light wavelength to emit (whole number)."	"Вказує конкретну довжину хвилі лазеру (ціле число)."
""	""	"Laser Point Sensor"	"Лазерний датчик точки"
""	""	"The closest point to the center of the sensor's field of view will be reported. It outputs a value of -1 to 1 on composite number channel 1 for the x position, and a value of -1 to 1 on composite number channel 2 for the y position. Composite on/off channel 1 is set to on when a point is visible. The -1 to 1 values map to an fov of -cos(0.5) to cos(0.5) in both the x and y directions."	"Буде повідомлено найближчу точку до центру поля зору датчика. Він виводить значення від -1 до 1 на каналі складеного номера 1 для позиції x і значення від -1 до 1 на каналі складеного числа 2 для позиції y. Комбінований канал вмикання/вимикання 1 встановлюється на ввімкнено, коли точка видима. Значення від -1 до 1 співвідносяться з fov від -cos(0.5) до cos(0.5) як у x, так і в y напрямках."
""	""	"A sensor that outputs a relative x and y position of a laser point that it can see within its field of view."	"Датчик, який виводить відносне положення x і y лазерної точки, яке він може бачити в полі свого зору."
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Data Output"	"Виведення даних"
""	""	"On/Off channel 1: is laser detected. Number channel 1, 2: X, Y position within the sensors 120 degree field of view."	"Канал увімкнення/вимкнення 1: визначається лазером. Число каналів 1, 2: X, Y положення в межах поля зору датчиків на 120 градусів."
""	""	"Wavelength"	"Довжина хвилі"
""	""	"The specific light wavelength to detect (whole number)."	"Питома довжина світлової хвилі для виявлення (ціле число)."
""	""	"Linear Track Base"	"Лінійна база колії"
""	""	"You can build the track using the Linear Track Extension component. This base component provides 3 blocks that can be built on. A pair of on/off signals allow you to control the up and down motion of the slider, and a numerical output lets you measure the slider's offset from its starting position. Multiple slider bases can run along the same track. The up/down speed can be configured by selecting this component with the select tool."	"Ви можете побудувати доріжку за допомогою компонента Linear Track Extension. Цей базовий компонент забезпечує 3 блоки, на яких можна побудувати. Пара сигналів включення/виключення дозволяє контролювати рух повзунка вгору і вниз, а числовий вихід дозволяє виміряти зміщення повзунка з початкового положення. Кілька основ повзунків можуть проходити вздовж однієї доріжки. Швидкість вгору/вниз можна налаштувати, вибравши цей компонент інструментом виділення."
""	""	"A slider that moves along a modular linear track."	"Повзунок, який рухається вздовж модульної лінійної доріжки."
""	""	"Down"	"Вниз"
""	""	"Moves the slider in the track's down direction (indicated by the hollow arrow)."	"Переміщує повзунок у напрямку доріжки вниз (позначено порожньою стрілкою)."
""	""	"Up"	"Вверх"
""	""	"Moves the slider in the track's up direction (indicated by the filled arrow)."	"Переміщує повзунок у напрямку доріжки вгору (позначено заповненою стрілкою)."
""	""	"Slider Position"	"Положення повзунка"
""	""	"The measured offset of the slider from its starting position."	"Виміряний зсув повзунка від початкового положення."
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"RPS"	"РПС"
""	""	"Power connection for transfering mechanical energy."	"Силове з'єднання для передачі механічної енергії."
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for transfering fluid."	"З'єднання рідини для перенесення рідини."
""	""	"Compact Linear Track Base"	"Компактна лінійна база доріжки"
""	""	"You can build the track using the Compact Linear Track Extension component. The speed of the slider can be set using its number input."	"Ви можете побудувати доріжку за допомогою компонента Compact Linear Track Extension. Швидкість роботи повзунка можна задати за допомогою його числового входу."
""	""	"A compact slider that moves along a modular linear track."	"Компактний бігунець, який рухається по модульній лінійній доріжці."
""	""	"Slider Speed"	"Швидкість повзунка"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Compact Linear Track Head"	"Компактна лінійна головка колії"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Compact Linear Track Extension"	"Компактне лінійне розширення колії"
""	""	"A Compact Linear Track Base must be attached somewhere along the track for it to function."	"Компактна лінійна база колії повинна бути прикріплена десь уздовж колії, щоб вона функціонувала."
""	""	"An extension piece that can be used to build compact linear tracks."	"Подовжувач, який можна використовувати для побудови компактних лінійних доріжок."
""	""	"Linear Track Head"	"Лінійна колійна головка"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"RPS"	"РПС"
""	""	"Power connection for transfering mechanical energy."	"Силове з'єднання для передачі механічної енергії."
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for transfering fluid."	"З'єднання рідини для перенесення рідини."
""	""	"Pneumatic Piston"	"Linear Matic B"
""	""	"A standard value input sets the target position that the piston rod should move to. There is also an output for taking a measurement of the rod's current position. The piston can expand by a length of 1 metre, making it a total of 2.25m (9 blocks) tall when expanded and 1.25m (5 blocks) tall when contracted. The piston's speed can be configured by selecting it with the select tool."	"Вхід стандартного значення задає цільове положення, в яке повинен переміститися шток поршня. Також є вихід для вимірювання поточного положення стрижня. Поршень може розширюватися на довжину 1 метр, що робить його в цілому 2,25 м (9 блоків) у висоту при розширенні і 1,25 м (5 блоків) у висоту при стисканні. Швидкість поршня можна налаштувати, вибравши його інструментом виділення."
""	""	"A pneumatic piston that can be expanded and contracted."	"Пневматичний поршень, який можна розширювати і стискати."
""	""	"Piston Rod Target Position"	"Положення мети штока поршня"
""	""	"Takes a standard value representing the desired position of the rod."	"Приймає стандартне значення, що представляє потрібне положення стрижня."
""	""	"Piston Rod Position"	"Положення штока поршня"
""	""	"The measured position of the rod between -0.5 and 0.5 metres."	"Виміряне положення стрижня від -0,5 до 0,5 метра."
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for transfering fluid."	"З'єднання рідини для перенесення рідини."
""	""	"Pneumatic Piston"	"Linear Matic B"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Fluid"	"Рідини"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Linear Track Extension"	"Лінійне розширення колії"
""	""	"A Linear Track Base must be attached somewhere along the track for it to function."	"Лінійна база колії повинна бути прикріплена десь уздовж колії, щоб вона функціонувала."
""	""	"An extension piece that can be used to build linear tracks."	"Подовжувач, який можна використовувати для побудови лінійних доріжок."
""	""	"Linear Speed Sensor"	"Лінійний датчик швидкості"
""	""	"This sensor outputs the speed of the component in one of 4 modes. Modes can be changed by selecting the sensor."	"Цей датчик виводить швидкість компонента в одному з 4 режимів. Режими можна змінювати, вибираючи датчик."
""	""	"This sensor outputs its current linear speed in m/s, allowing you to measure how fast your vehicle is travelling."	"Цей датчик виводить свою поточну лінійну швидкість в м/с, дозволяючи виміряти, як швидко рухається ваш автомобіль."
""	""	"Linear Speed"	"Лінійна швидкість"
""	""	"The sensor's linear speed in m/s."	"Лінійна швидкість датчика в м/с."
""	""	"Mag All"	"Mag All"
""	""	"While the connector is active the end will glow and it will stick to most surfaces that it touches. The connection will break if enough stress (200) is applied."	"Поки роз'єм активний, кінець буде світитися, і він буде прилипати до більшості поверхонь, до яких торкається. З'єднання розірветься, якщо подати достатню напругу (200)."
""	""	"A small connector that will attach to most surfaces."	"Невеликий роз'єм, який буде кріпитися до більшості поверхонь."
""	""	"Magnet Toggle"	"Перемикач магніту"
""	""	"Enables the connector's magnet when receiving an on signal."	"Вмикає магніт роз'єму при отриманні включеного сигналу."
""	""	"Connected"	"Підключений"
""	""	"Outputs an on signal if the connector is attached to another connector."	"Видає сигнал включення, якщо роз'єм приєднаний до іншого роз'єму."
""	""	"Force"	"Сила"
""	""	"Outputs the current force stress on the connector."	"Виводить напругу сили струму на роз'єм."
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Microphone"	"Мікрофон"
""	""	"A simple microphone that picks up voice data from nearby players. (Range : 15)"	"Простий мікрофон, який збирає голосові дані від гравців поблизу. (Діапазон: 15)"
""	""	"A microphone for transmitting player voice data."	"Мікрофон для передачі голосових даних плеєра."
""	""	"Audio"	"Аудіо"
""	""	"Audio data connection."	"Підключення аудіоданих."
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Activate"	"Активувати"
""	""	"Activate the microphone."	"Активуйте мікрофон."
""	""	"Transmit"	"Передавати"
""	""	"If the microphone is currently transmitting."	"Якщо мікрофон в даний момент передає дані."
""	""	"Microprocessor"	"Мікропроцесор"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Mineral Converter"	"Мінеральний перетворювач"
""	""	"Transports minerals through the connected system."	"Transports coal through the connected system."
""	""	"A basic mineral duct."	"A basic coal duct."
""	""	"Mineral Level"	"Coal Level"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Mineral Drill"	"Мінеральний бур"
""	""	"The mineral drill can be driven by torque to mine ore deposits in the world. Extracted minerals can be transferred to an attached hopper."	"Бур корисних копалин може приводитися в рух крутним моментом для видобутку рудних родовищ у світі. Видобуті корисні копалини можна переносити в прикріплений бункер."
""	""	"A vehicle mounted drill for mining ore deposits."	"На автомобілі встановлені бурові свердла для видобутку рудних родовищ."
""	""	"Drill Shaft"	"Бурильний вал"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Modular Engine Air Manifold"	"Модульний двигун повітряного колектора"
""	""	"Attach a manifold to a cylinder to provide a connection for air to that cylinder. Cylinders that are chained directly adjacent to each other can share a single manifold."	"Приєднайте колектор до циліндра, щоб забезпечити з'єднання повітря з цим циліндром. Циліндри, які прикуті ланцюгами безпосередньо до один одного, можуть ділити один колектор."
""	""	"A modular engine air manifold."	"Модульний повітряний колектор двигуна."
""	""	"Throttle"	"Тяга"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Air"	"Повітря"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Air Ram"	"повітряний таран"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Port used to allow air in and out of a fluid system."	"Порт для постачання повітря в систему труб. \n\nОригінальна назва: Air Filter"
""	""	"Air"	"Повітря"
""	""	"Allows fluid to flow in and out of an enclosed volume."	"Вихід в систему труб."
""	""	"Modular Engine Alternator"	"Модульний генератор двигуна"
""	""	"Alternators convert mechanical energy from a Drive Belt into electric charge."	"Генератори змінного струму перетворюють механічну енергію від приводного ременя в електричний заряд."
""	""	"A modular engine alternator."	"Модульний генератор двигуна."
""	""	"Clutch Pressure"	"Тиск зчеплення"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Electric"	"Живлення"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Modular Engine Clutch 1x1"	"Модульне зчеплення двигуна 1х1"
""	""	"Attach a clutch to a crankshaft block to control the torque made available to the connected system."	"Приєднайте зчеплення до блоку колінчастого вала, щоб контролювати крутний момент, доступний підключеній системі."
""	""	"A modular engine clutch."	"Модульне зчеплення двигуна."
""	""	"Clutch Pressure"	"Тиск зчеплення"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"RPS"	"РПС"
""	""	"The power supplied by the engine for inputting to other components."	"Вихідна потужність двигуна, вимірюється в обертах на секунду (eng RPS - rotate per second)."
""	""	"Modular Engine Clutch 3x3"	"Модульне зчеплення двигуна 3х3"
""	""	"Attach a clutch to a crankshaft block to control the torque made available to the connected system."	"Приєднайте зчеплення до блоку колінчастого вала, щоб контролювати крутний момент, доступний підключеній системі."
""	""	"A modular engine clutch."	"Модульне зчеплення двигуна."
""	""	"Clutch Pressure"	"Тиск зчеплення"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"RPS"	"РПС"
""	""	"The power supplied by the engine for inputting to other components."	"Вихідна потужність двигуна, вимірюється в обертах на секунду (eng RPS - rotate per second)."
""	""	"Modular Engine Clutch 5x5"	"Модульне зчеплення двигуна 5х5"
""	""	"Attach a clutch to a crankshaft block to control the torque made available to the connected system."	"Приєднайте зчеплення до блоку колінчастого вала, щоб контролювати крутний момент, доступний підключеній системі."
""	""	"A modular engine clutch."	"Модульне зчеплення двигуна."
""	""	"Clutch Pressure"	"Тиск зчеплення"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"RPS"	"РПС"
""	""	"The power supplied by the engine for inputting to other components."	"Вихідна потужність двигуна, вимірюється в обертах на секунду (eng RPS - rotate per second)."
""	""	"Modular Engine Coolant Manifold"	"Модульний колектор охолоджуючої рідини двигуна"
""	""	"Attach a manifold to a cylinder to provide a connection for coolant to that cylinder. Cylinders that are chained directly adjacent to each other can share a single manifold."	"Приєднайте колектор до циліндра, щоб забезпечити з'єднання охолоджуючої рідини з цим циліндром. Циліндри, які прикуті ланцюгами безпосередньо до один одного, можуть ділити один колектор."
""	""	"A modular engine coolant manifold."	"Модульний колектор охолоджуючої рідини двигуна."
""	""	"Coolant A"	"Охолоджуюча рідина А"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Coolant B"	"Охолоджуюча рідина Б"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Modular Engine Crankshaft 1x1"	"Модульний колінчастий вал двигуна 1x1"
""	""	"The crankshaft is the core of an engine. Attach cylinders to the outer surfaces to generate power. Multiple crankshaft blocks can be placed adajcent to each other to form larger engines."	"Колінчастий вал є серцевиною двигуна. Прикріпіть циліндри до зовнішніх поверхонь для вироблення енергії. Кілька блоків колінчастого вала можуть бути розміщені поруч один з одним, утворюючи більші двигуни."
""	""	"A modular engine crankshaft block."	"Модульний блок колінчастого вала двигуна."
""	""	"RPS"	"РПС"
""	""	"Output value giving data info on engine speed."	"Видає кількість RPS в двигуні."
""	""	"Modular Engine Crankshaft 3x1"	"Модульний колінчастий вал двигуна 3x1"
""	""	"The crankshaft is the core of an engine. Attach cylinders to the outer surfaces to generate power. Multiple crankshaft blocks can be placed adajcent to each other to form larger engines."	"Колінчастий вал є серцевиною двигуна. Прикріпіть циліндри до зовнішніх поверхонь для вироблення енергії. Кілька блоків колінчастого вала можуть бути розміщені поруч один з одним, утворюючи більші двигуни."
""	""	"A modular engine crankshaft block."	"Модульний блок колінчастого вала двигуна."
""	""	"RPS"	"РПС"
""	""	"Output value giving data info on engine speed."	"Видає кількість RPS в двигуні."
""	""	"Modular Engine Crankshaft 3x3"	"Модульний колінчастий вал двигуна 3х3"
""	""	"The crankshaft is the core of an engine. Attach cylinders to the outer surfaces to generate power. Multiple crankshaft blocks can be placed adajcent to each other to form larger engines."	"Колінчастий вал є серцевиною двигуна. Прикріпіть циліндри до зовнішніх поверхонь для вироблення енергії. Кілька блоків колінчастого вала можуть бути розміщені поруч один з одним, утворюючи більші двигуни."
""	""	"A modular engine crankshaft block."	"Модульний блок колінчастого вала двигуна."
""	""	"RPS"	"РПС"
""	""	"Output value giving data info on engine speed."	"Видає кількість RPS в двигуні."
""	""	"Modular Engine Crankshaft 5x5"	"Модульний колінчастий вал двигуна 5x5"
""	""	"The crankshaft is the core of an engine. Attach cylinders to the outer surfaces to generate power. Multiple crankshaft blocks can be placed adajcent to each other to form larger engines."	"Колінчастий вал є серцевиною двигуна. Прикріпіть циліндри до зовнішніх поверхонь для вироблення енергії. Кілька блоків колінчастого вала можуть бути розміщені поруч один з одним, утворюючи більші двигуни."
""	""	"A modular engine crankshaft block."	"Модульний блок колінчастого вала двигуна."
""	""	"RPS"	"РПС"
""	""	"Output value giving data info on engine speed."	"Видає кількість RPS в двигуні."
""	""	"Modular Engine Crankshaft Converter 3 to 1"	"Модульний перетворювач колінчастого вала двигуна 3 в 1"
